Galaxy ID		Final Galaxy Mass (Msun)
1849			28180000000
1780			28092000000
1752			27693000000
0617			27480000000
1785			26923000000
1738			26336000000
1776			26198000000
1687			25812000000
1810			25731000000
0968			25606000000
1782			25516000000
1727			24321000000
1753			23527000000
1726			23166000000
1797			22692000000
1792			22670000000
1794			22574000000
0533			22540000000
1783			22410000000
1860			22098000000
1755			21745000000
1790			21562000000
1465			21353000000
1781			21310000000
1728			21021000000
1801			20979000000
1788			20394000000
1689			19364000000
1807			19289000000
1787			19200000000
1786			19014000000
1813			18909000000
1688			18839000000
1771			18725000000
1791			18698000000
1784			18561000000
1861			18510000000
1800			18444000000
1804			18421000000
1789			18165000000
1824			18002000000
1754			18001000000
1795			17910000000
1769			17790000000
1793			17477000000
1756			17117000000
1500			16895000000
1859			16854000000
1805			16754000000
1796			16676000000
1799			16640000000
1798			16432000000
1821			16408000000
1745			16288000000
1809			16285000000
1812			16245000000
1811			16130000000
1744			16114000000
1231			15662000000
1815			15611000000
1729			15476000000
1803			15420000000
1836			15158000000
1817			15073000000
1706			15037000000
1822			14964000000
1820			14959000000
1816			14913000000
1746			14910000000
1705			14876800000
1766			14736000000
1828			14519000000
1808			14472000000
1825			14428000000
1765			14221000000
1712			14189000000
1806			14186000000
1862			14179000000
1833			14071000000
1802			13875000000
1768			13568000000
1837			13227000000
1841			13111000000
1834			13048000000
1839			12950000000
1827			12846000000
1835			12768000000
1823			12638000000
1840			12350000000
1767			12342000000
1830			12329000000
1838			12106000000
1747			12028000000
1819			11805000000
1831			11566000000
1846			11474000000
1826			11461000000
1851			11324000000
1843			11189000000
1757			11168000000
1690			11150000000
1854			11063000000
1858			10993000000
1832			10928000000
1844			10868000000
1842			10727000000
1847			10670000000
1848			10476000000
1770			10465000000
1852			10451000000
1707			10250000000
1748			10128000000
1850			9801000000
1865			9797000000
1829			9614000000
1845			9436000000
1709			9411800000
1710			9235000000
1856			9174000000
1725			8912000000
1750			8541000000
1855			8238000000
1864			8002000000
1430			7790000000
1869			7767000000
1863			7623000000
1868			7268000000
1867			7116000000
1866			6832000000
1870			1053000000
